repetition,price_cost,physical_size,content,payment_process,payment_method,reputation,fulfillment,transaction_scale,market_concentration,market_reach,seller_geography,marketing
0,0.1352173391011454,0.0071158840843424265,0.019525771160685386,0.006649908093445905,0.007302013609350783,0.0,0.04004695469393583,0.24941309219455296,0.0010797447255096043,0.08552128776732025,0.017445581353982605,-0.003046291566993391
1,0.12644415594718986,0.013576780678833392,0.018395153764770654,0.00893524949058124,0.00900000624272876,0.00343227707962925,0.05222515150498964,0.25188698860335595,0.004914129434965046,0.10215896794280939,0.014441573359268704,-0.011658373525295924
2,0.14556039696188314,0.00976566973599109,0.023269877188987313,0.0018494172177674012,0.006035463187889362,0.002517653056637991,0.061055256703887506,0.23694574681281627,0.010535742862777767,0.09859423433132225,0.007815955118369512,-0.0017147802265622255
3,0.14592950934353077,0.014268799277325725,0.01790707515327841,0.006910449177059237,0.005589256179996574,0.001899193512695538,0.04585706195901473,0.21646539750463256,-0.006010157480769139,0.08960085258464057,0.013762910226102735,-0.006959121470433604
4,0.14568157789886566,0.010214583034200801,0.021069629370741118,0.008436094275769546,0.006932370044417931,0.001349142250078877,0.05341718000631588,0.23921029607188757,0.010708244278742516,0.10250400382172413,0.01548399680415396,-0.0025645006886644067
5,0.14656416466403793,0.0026619666469850957,0.024426646570089906,0.005727363061837401,-0.004767111138092522,0.0011278713126145726,0.052144250278493946,0.24140900745066082,0.007658529185001452,0.0833381968776074,0.013436965004130481,-0.0004458406277015334
6,0.14652276366074513,0.008146072374937145,0.01298746332346043,0.011837120853296513,-0.007341253527488694,-0.004392391205650379,0.05761614710863881,0.24571849221775133,0.006874142726014027,0.10215557987370495,0.011698160566839876,-0.006825067661269417
7,0.14272191888940308,0.011955300027673636,0.01879609931133494,0.0078253562682027,-0.010098763967819512,0.002205079759796834,0.04928495885708083,0.2331088285848883,0.008811158049195897,0.09477604081377614,0.016296238843388627,0.0016210286874057216
8,0.13786721250934705,0.016362999274034878,0.026684894302544872,0.005632412194624216,0.006143493284484694,0.0016400422962080147,0.05587153639117287,0.23920890213250218,0.01038759006305368,0.09914471980176152,0.01538508399393069,-0.004943835506773133
9,0.13386714196976712,0.011002691088715974,0.026017841885421958,0.003776299649830233,0.006437063475110654,0.002229494793195205,0.06010781386420945,0.22992594778502012,0.004768560790653351,0.06653706718300026,0.013946774173679522,0.002327873774510158
10,0.1473098925621744,0.011530612011200309,0.025289693831138275,0.006568896184490567,0.000562735750987216,0.0005606828607755335,0.045955726617460536,0.2285604776306478,0.010652223201179435,0.09879882793732961,0.015360768403990041,0.001949532807096807
11,0.14437952185686692,0.009054483140738945,0.023111334809991106,0.008067474033572967,0.008491203329228274,0.003134147108686014,0.05991358108640112,0.21004559747782128,-0.005426674816102835,0.039519888407306435,0.013457860481002863,-0.003318404971647289
12,0.12478709367441525,0.0005000360930372781,0.024666932612803977,0.004917174031987425,0.005814109184881047,-0.0003257669004423484,0.05290855192745117,0.2488515838069394,0.006336561276771274,0.08241853871185395,0.015165771129629472,-0.004100064306785083
13,0.1451944188127032,0.011120330818525917,0.02364320335169754,0.0006749765974867579,0.012212552681266083,0.0016070765301747433,0.048352078476377555,0.2510639887851484,0.00904264065283907,0.09233438528830144,0.015762694911886976,0.0020045126498697756
14,0.1433895818091447,0.008788181370518084,0.024654041639453218,0.007521690884116623,0.00447495370068313,-0.004916131946925592,0.05395916116828633,0.2296168350291435,0.00917038575133526,0.09337005562980201,0.012180857535615753,0.002342636453274594
15,0.13664523205131243,-0.0029122558087140826,0.024235232148010648,0.0073927399467331855,-0.00215160952477247,-0.001023503348277484,0.0607819351653612,0.25112226630026635,0.012633083952576873,0.10563406721784022,0.007626246564593428,0.002275881505394901
16,0.14181907261680052,0.004592386839819296,0.01240257802508959,-0.004544903814355431,-0.00323220344387639,0.002193842835511602,0.05370243316875009,0.24375923601829247,0.010722746850281996,0.10413901883412896,0.01126537710021965,-0.0071310912744699355
17,0.1394813791004105,0.005166245951699436,0.01106886195188819,0.006837282560914588,0.001374193976940565,0.0007617604059861993,0.05999115675560344,0.250507852656302,0.001829165506541536,0.09773395857861145,0.015434507899674418,0.0023213449609261728
18,0.14507526570008775,0.008386031762722247,0.02552400252021202,0.00569918659564634,0.0037824984228408427,0.0025739692885364974,0.0554908933433791,0.2532049218770144,0.0010952664063817296,0.09543841040365521,0.015838016469563412,0.000724849278821322
19,0.1400091700872803,0.015106816833351099,0.023288990222831277,0.011456770964307455,-0.0020346244414944405,0.0017762673658785735,0.06133000554651604,0.2522526765462013,0.004523931109185831,0.11028848315946771,0.015242042165505097,0.0022216802648501385
20,0.14546782870117372,0.013249323377428311,0.01588980922738454,-0.008179763263475127,0.008031017733127772,-0.002372496539699159,0.050724599213622545,0.2529019807376791,0.01042917875650002,0.1059776473069587,0.015267798846858475,0.002158027245975582
21,0.14555297709985837,0.0016349562917501621,0.022893413165690882,-0.006823788545584012,-0.0060260224848541774,0.0014806541911572318,0.06081521841579498,0.24717723643349335,0.012272656758690626,0.1024119437195869,0.015029574517104556,-0.0015835695240577763
22,0.12851409498164934,0.008294648650623793,0.020115082369700967,0.007981627481581696,0.009499727051845505,0.0006894327910147294,0.05723084327019651,0.24798458112676516,0.010534174045491444,0.10559415894486163,0.01603506723567853,0.0018769373268596747
23,0.14399207715415577,0.007874984337857376,0.0218888620243997,0.008773517799759899,0.0068442107480533795,0.00444108660705637,0.05106434006050381,0.24999961589111688,0.010518029437254696,0.107693316559025,0.014287647128758869,0.002141310923540631
24,0.1472109038089503,0.0026860466513990346,0.0237967579587698,0.0019314515770400458,-0.009601204760012035,0.00195711958775846,0.059760705705285556,0.24937368860726458,0.0033659937615349005,0.0975683999475357,0.014869490189626746,0.0001732704224086533
25,0.14161624446226181,0.013444264384117187,0.01907695761753167,0.009756240140594934,0.0067074709300166055,0.0023807694400784147,0.056268503525173194,0.25156109049331704,0.0038662239646414165,0.10528186123902072,0.015136592881163608,-0.0064988431953006305
26,0.14622443248955602,0.008704335805531852,0.01300138501188482,0.006715147843704639,-0.002175142243052321,-0.0002242228808341947,0.05892884672756793,0.25201339529691,0.011431483461436718,0.10018987129680158,0.0103814795640601,-0.011867251340365748
27,0.14318714917641473,0.012697464126441464,0.014294015486460197,0.008725865880970256,0.009191582972076647,0.0020489745839202315,0.05445500433032449,0.24737749983637858,-0.0024352182065344816,0.09355423530614478,0.009682360837753434,0.0020713173026769794
28,0.1410197084960644,0.004800107685335073,0.024442824744459735,-0.0013327659758374313,0.000544381173209374,-0.008241374907472013,0.05768256114925341,0.23563864506912094,0.004745529057987068,0.0690272549201854,0.017545115130031357,0.0010639698879058225
29,0.14414050480638943,0.014986512386291156,0.01680110378921535,0.0002119156966828694,0.007602715559552444,0.000906777607664495,0.060002235176616216,0.24915869814668648,0.00434540016791167,0.10284326221198592,0.015666653141453345,-0.006603249678303395
30,0.14275344964197317,0.01392417813415858,0.025925825058281726,0.006731991006995323,0.0018639277140178098,0.0021747660275834436,0.05967047649458229,0.2449380900508182,0.009675317331914967,0.10294920214582061,0.015630300314312746,0.0013893812167721615
31,0.13336194503012364,0.015677263550436814,0.021668435559397386,0.004962482341641213,0.004148104398861769,-0.000886270798548483,0.056303515325922926,0.2537033373004748,0.011555368434816372,0.1071005421741596,0.015289070656298002,-0.010218952533164214
32,0.14428155338643142,0.010115991159666061,0.010837939351904267,0.009720699607577139,0.0012031180749762695,-0.00038589114145024927,0.05389054679577813,0.2533127870120029,0.010754714623849167,0.10603564292628107,0.013738281835769316,-0.003261853683761804
33,0.14356100927137122,0.013478107313068416,0.02610155530162892,0.008374418899267497,0.007412994255802145,-0.002548882082173096,0.05729748862169672,0.24365097653108655,0.005170693167619176,0.06764167765556689,0.0125438669721963,0.0012149690921592297
34,0.14637632589816085,0.010900656073380678,0.02064303873510348,0.006857896653218435,-0.0005374282323028518,0.0020502368215778075,0.05462392670063157,0.2414337365808864,0.009058422303516327,0.10464665755408305,0.013015771255910396,0.002218116590186197
35,0.13065909560936326,0.012307700745448073,0.027048393119379885,-0.017118473345989454,0.001078265706151326,0.003981237193381584,0.0498232542199083,0.24548831439087085,0.011929452960668854,0.10204136045981836,0.013735046296924097,-0.0013232368854095295
36,0.13988735502633914,0.009879139340681447,0.023349936967487002,0.006290327990700831,-0.004235126464181388,-0.0020271912132655235,0.05385620997089609,0.24224363517724737,0.011245805392446613,0.09835949126403401,0.015739833242834348,0.00228931438587391
37,0.1393100158167751,0.017184928686192338,0.014554362167253015,0.007309591206817459,0.0038836437748401703,0.0018223883074564473,0.05780106696619301,0.24371812080643343,0.005215085632618634,0.08791929478461308,0.014725358920194671,0.0011103808589636862
38,0.13648954693956467,0.007407800831707782,0.01774168026115257,0.004051888582973124,0.006607544006589064,0.001885289730994722,0.0576599357925472,0.25080112146452255,-0.009347478676295425,0.09394525644075641,0.0077332357437341955,-0.0001931474978152086
39,0.1455161100076924,0.0011866560460191931,0.020835424969693775,0.005802810743734986,0.0009518835989174978,0.0019420721499845734,0.060653575767651575,0.24857973350423573,0.0007341537624564942,0.09094030805656127,0.014102288330307099,0.0021038013366436797
40,0.14664951014028854,0.012480522888093374,0.01771608139692549,0.0074710128575506156,0.001215898726896876,0.0017856938535340645,0.05773435573927795,0.2528081827917831,0.011325194460895364,0.10660280201110543,0.015540840424521191,0.0017128047114565402
41,0.14578445819714791,0.009116787553641592,0.016776870805469482,0.006035611968747948,0.008022065194322725,-0.003375712747278284,0.05852643820063462,0.2514816198799963,0.008851227526508054,0.09388604303635786,0.015296517900459813,-0.007690452253348572
42,0.12649887939037913,0.0033261492581253297,0.025531124686306916,0.0025084398563415856,-0.004975264261370377,-0.0003800020208979387,0.055861555602536195,0.2406531251254932,0.005100692997387214,0.10005757286213952,0.012080772886322942,0.002646564531776865
43,0.1468729642954567,0.00906054802991339,0.0193754548100763,-0.0007118986267517745,0.0005251549889863033,0.0010739550275618963,0.05184785187180536,0.23483280146303828,0.003456834053043133,0.09269421491563054,0.007408189701652721,-0.0003796321235949845
44,0.1461300599730306,0.00701584147804294,0.01575230279047588,0.008528176923490855,0.0033678678554078557,0.0011092710500622916,0.05634382797933636,0.23916813316094349,0.006644114036289342,0.0786773075599255,0.014983024307920183,-0.006934420682496105
45,0.14198594561685257,0.014895004534402425,0.01787909733041389,0.007406166254706752,0.0018067213996027093,0.002180841361073097,0.04997196989131866,0.24943558740123195,-0.009783081090766647,0.08541286187965312,0.013865407061061642,-0.0044714017439163945
46,0.14322668542639688,0.01596380209374038,0.01629442780878553,-0.00042440772995513704,-0.004533011941876561,0.0021463130104937083,0.0533892204981951,0.2335543690331433,-0.02281771029309875,0.08850499167418827,0.014903599465750917,-0.004429923645155119
47,0.14740088059994397,0.011438229533931598,0.0251210597463322,0.009851422095196863,-0.0016536783341848053,-1.8502740039143972e-05,0.044780966687037724,0.22949994311573435,0.002252779246026227,0.05344053027809627,0.015203318258725439,-0.00529948554894122
